Filename,Storm,Storm_ID,Storm_Datetime,Storm_Epoch,Lat,Lon,Intensity_ms,MSLP_hPa,TC_Category,Observation_Variables,Observation_Groups,Group_Counts_JSON
HRDOBS_FRED06L.202108160000_AI_READY.hdf5,FRED,FRED06L,2021-08-16T00:00:00Z,1629072000, 17.10, -95.70,25.722200393676758,999.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 97, ""flight_level_hdobs_usaf"": 766, ""sfmr_usaf"": 462, ""track_best_track"": 3, ""track_spline_track"": 362, ""track_vortex_message"": 2}"
HRDOBS_FRED06L.202108111800_AI_READY.hdf5,FRED,FRED06L,2021-08-11T18:00:00Z,1628704800,  8.50, -80.40,18.005538940429688,1006.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa42, flight_level_hdobs_noaa42, flight_level_hdobs_noaa43, track_best_track, track_spline_track","{""dropsonde_noaa42"": 112, ""flight_level_hdobs_noaa42"": 80, ""flight_level_hdobs_noaa43"": 78, ""track_best_track"": 4, ""track_spline_track"": 361}"
HRDOBS_HENRI08L.202108220600_AI_READY.hdf5,HENRI,HENRI08L,2021-08-22T06:00:00Z,1629612000, 29.40, -81.00,33.43885803222656,986.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa42, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 138, ""flight_level_hdobs_noaa42"": 186, ""flight_level_hdobs_usaf"": 1117, ""sfmr_usaf"": 705, ""track_best_track"": 3, ""track_spline_track"": 361, ""track_vortex_message"": 4}"
HRDOBS_FRED06L.202108110600_AI_READY.hdf5,FRED,FRED06L,2021-08-11T06:00:00Z,1628661600,  7.70, -77.60,18.005538940429688,1007.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_noaa43, sfmr_noaa43, track_best_track, track_spline_track","{""flight_level_hdobs_noaa43"": 60, ""sfmr_noaa43"": 14, ""track_best_track"": 3, ""track_spline_track"": 362}"
HRDOBS_HENRI08L.202108221800_AI_READY.hdf5,HENRI,HENRI08L,2021-08-22T18:00:00Z,1629655200, 31.50, -81.90,20.5777587890625,991.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 29, ""flight_level_hdobs_usaf"": 320, ""sfmr_usaf"": 158, ""track_best_track"": 5, ""track_spline_track"": 130, ""track_vortex_message"": 3}"
HRDOBS_LARRY12L.202109081800_AI_READY.hdf5,LARRY,LARRY12L,2021-09-08T18:00:00Z,1631124000, 18.30, -68.80,46.29996109008789,967.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_usaf, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 180, ""track_best_track"": 3, ""track_spline_track"": 361}"
HRDOBS_LARRY12L.202109091800_AI_READY.hdf5,LARRY,LARRY12L,2021-09-09T18:00:00Z,1631210400, 23.00, -72.10,41.155517578125,966.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_usaf, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 63, ""track_best_track"": 3, ""track_spline_track"": 36}"
HRDOBS_LARRY12L.202109080600_AI_READY.hdf5,LARRY,LARRY12L,2021-09-08T06:00:00Z,1631080800, 16.20, -67.10,48.8721809387207,966.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 217, ""sfmr_usaf"": 12, ""track_best_track"": 3, ""track_spline_track"": 363}"
HRDOBS_LARRY12L.202109090600_AI_READY.hdf5,LARRY,LARRY12L,2021-09-09T06:00:00Z,1631167200, 20.20, -70.80,41.155517578125,968.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_usaf, track_best_track, track_spline_track","{""flight_level_hdobs_usaf"": 20, ""track_best_track"": 3, ""track_spline_track"": 361}"
HRDOBS_SAM18L.202109301200_AI_READY.hdf5,SAM,SAM18L,2021-09-30T12:00:00Z,1633003200, 12.10, -69.50,64.30549621582031,937.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_noaa43, track_best_track, track_spline_track","{""flight_level_hdobs_noaa43"": 140, ""track_best_track"": 3, ""track_spline_track"": 362}"
